0G5LtudP4n5DwQ	6 2 2 1 1 2 1 1 2 
/kwWJAcG52cf0A	1 3 2 1 2 1 8 1 3 1 2 1 2 1 38 2 17 2 1 1 20 2 3 1 1 4 1 1 1 2 13 1 1 2 1 1 4 41 1 2 
5jEQtFiuKN5lmA	3 1 1 1 1 1 1 3 1 
2SzWt1RCj3hBlQ	1 1 1 1 3 4 1 9 
0P6fUQNsXkNF3A	2 1 18 1 1 2 1 1 14 1 6 2 1 14 2 1 2 3 3 1 
4v3ai3E/KNyMcw	1 1 1 
3/PI5NymFO19vA	3 2 1 1 1 2 
0IMO47SP1h/ZZQ	3 2 2 5 1 1 1 
+DJaBglFrtJheQ	2 2 1 
+SFyH6/KI7HHww	5 8 1 5 1 2 3 7 1 1 
2g84alVqeTHkSA	1 2 1 3 1 1 
+9VzhwGokJc/UA	1 1 2 6 1 1 2 1 
12waH9q4kaeGlg	1 46 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 71 1 1 1 1 12 1 1 1 1 15 1 1 14 1 1 1 5 2 1 30 35 2 1 1 1 1 1 1 1 
4Lsi9VGbytIgLw	1 1 1 
/aMaueb0O6iQJQ	4 4 1 4 1 1 3 
+wXmc1AVkDKRdA	4 1 1 5 5 
0I0YjluuLW1i9A	1 1 1 1 3 1 1 
0nuXHCgiFyueIg	1 1 1 1 1 1 
3h9jc9SJoda2gg	1 1 1 1 
1gmAT3TcDV4/Vw	5 1 10 1 1 6 1 2 1 1 5 3 2 4 1 3 1 1 1 
4euMjs3/cIJQoQ	1 1 
2ZJawurz2YDxuQ	1 1 1 1 
3gEzvVpZV3rgJg	1 6 7 1 2 27 4 1 1 2 1 1 1 1 5 1 22 1 5 18 6 1 1 1 4 1 2 1 1 1 1 2 1 1 3 2 1 5 11 2 2 1 2 1 1 1 1 2 1 1 5 2 9 1 2 28 1 1 2 2 1 60 1 1 1 7 1 1 2 1 1 1 1 1 2 1 4 60 9 
2rMxFH9B7UAuRg	1 1 1 1 1 1 3 1 
/xrPo+3coqPZIA	1 2 2 1 1 1 1 1 
2lvFbl4YqzqGfA	1 3 1 3 5 1 5 1 1 1 
/C0bWepe1K+ykA	1 1 4 1 4 1 1 1 1 1 
3dId4rKYLhW+Sw	1 1 1 1 1 2 2 1 1 2 15 1 2 1 1 1 1 1 2 1 4 1 1 13 1 1 1 1 2 2 
2PWnCplsVUSllw	1 11 1 1 5 1 15 1 1 1 1 1 3 3 
5htbZL8Lhgz7Tg	1 1 1 1 1 1 1 1 
59e1ZsW2lpQauQ	1 1 1 1 1 
+4juUiGsfxPr/g	1 1 1 1 1 3 1 1 2 1 3 1 1 1 1 1 1 1 2 1 2 7 
0UAHEyhp5MW8xw	1 1 2 2 41 1 2 1 39 1 1 1 1 2 1 13 4 7 1 2 2 5 1 8 2 1 2 4 1 1 
/cU2vL9UCI/9zQ	1 1 1 1 1 1 2 1 
2oysYA3KRvBG8w	1 1 1 3 2 1 11 1 2 1 41 5 10 1 1 1 1 1 1 8 7 7 1 20 2 11 1 30 1 1 1 2 1 13 2 1 1 1 18 1 1 1 1 1 1 1 1 2 1 11 1 1 1 3 2 1 2 
4ctageRCwP4dnw	1 11 3 1 1 3 2 1 1 1 2 8 1 1 
0dQdc1XSnVR0Fw	1 1 1 
5TikhL62DMwXcQ	1 1 1 
5BdskxVULOyfrA	2 1 1 1 1 1 1 2 3 3 1 4 1 1 1 1 1 1 1 1 1 26 1 1 1 1 1 2 1 5 2 1 1 1 2 1 46 1 1 52 
+UY8eMHXCG6ZLA	1 1 2 1 2 1 21 1 1 2 4 10 1 10 1 1 1 1 3 2 1 1 
+NOtINHdgyYybA	1 1 1 2 6 7 1 2 1 1 1 1 1 2 1 
1hqCMqLKEgsuUQ	2 1 6 2 8 1 7 1 4 2 
4dU+0N838oHkcw	2 2 1 2 4 2 2 1 2 1 
01GHFsEl8LKvuA	1 1 1 3 1 1 1 1 1 6 1 3 14 1 1 2 3 1 1 1 6 10 1 3 1 5 7 1 1 1 1 1 1 3 17 4 1 7 4 1 11 1 1 3 1 11 6 1 1 39 3 1 1 5 2 3 5 1 30 21 4 1 4 5 1 1 1 8 1 1 1 1 
/JEu+5pnbLARBA	2 1 
2P88YED++mY7UA	1 1 1 
0Ckup75ejccQYQ	2 1 1 1 3 1 1 1 1 1 1 
0cClyad5nHiYbA	1 3 1 1 2 1 4 1 
1aS5A37RTC6Prw	1 1 
0DwrOppylvoong	1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 43 1 1 41 1 1 3 1 2 22 3 2 1 1 1 1 1 2 4 18 1 1 3 
4snOyASgr+elpw	1 1 5 1 34 1 1 2 1 1 11 3 2 14 10 1 1 1 1 1 33 1 1 
2FEyH7xmVSApTg	1 1 1 1 1 22 2 2 1 1 1 2 22 1 1 1 19 1 3 1 1 3 1 3 1 1 1 1 
